hugo_symbol,ensembl_gene_id_version,ANNOT
CRTC1,ENSG00000105662,ONCO
CTNNB1,ENSG00000168036,ONCO
DDIT3,ENSG00000175197,ONCO
DDX5,ENSG00000108654,ONCO
DDX6,ENSG00000110367,ONCO
DEK,ENSG00000124795,ONCO
ELK4,ENSG00000158711,ONCO
ERBB2,ENSG00000141736,ONCO
ERG,ENSG00000157554,ONCO
ETV1,ENSG00000006468,ONCO
ETV4,ENSG00000175832,ONCO
ETV5,ENSG00000244405,ONCO
EWSR1,ENSG00000182944,ONCO
FCGR2B,ENSG00000072694,ONCO
FCRL4,ENSG00000163518,ONCO
FEV,ENSG00000163497,ONCO
FGFR1,ENSG00000077782,ONCO
FGFR2,ENSG00000066468,ONCO
FGFR3,ENSG00000068078,ONCO
FLI1,ENSG00000151702,ONCO
FOXP1,ENSG00000114861,ONCO
FOXR1,ENSG00000176302,ONCO
FOXR1,ENSG00000281277,ONCO
FSTL3,ENSG00000070404,ONCO
GLI1,ENSG00000111087,ONCO
H3F3A,ENSG00000163041,ONCO
H3F3B,ENSG00000132475,ONCO
HEY1,ENSG00000164683,ONCO
HIP1,ENSG00000127946,ONCO
HIST1H3B,ENSG00000124693,ONCO
HLF,ENSG00000108924,ONCO
HMGA1,ENSG00000137309,ONCO
HMGA2,ENSG00000149948,ONCO
HNRNPA2B1,ENSG00000122566,ONCO
HOXA13,ENSG00000106031,ONCO
HOXC11,ENSG00000123388,ONCO
HOXC13,ENSG00000123364,ONCO
HOXD11,ENSG00000128713,ONCO
HOXD13,ENSG00000128714,ONCO
JAK2,ENSG00000096968,ONCO
KAT6A,ENSG00000083168,ONCO
KDM5A,ENSG00000073614,ONCO
KMT2A,ENSG00000118058,ONCO
LCK,ENSG00000182866,ONCO
LMO1,ENSG00000166407,ONCO
LMO2,ENSG00000135363,ONCO
LPP,ENSG00000145012,ONCO
LYL1,ENSG00000104903,ONCO
LYN,ENSG00000254087,ONCO
MAF,ENSG00000178573,ONCO
MAFB,ENSG00000204103,ONCO
MALT1,ENSG00000172175,ONCO
MAML2,ENSG00000184384,ONCO
MECOM,ENSG00000085276,ONCO
MLLT10,ENSG00000078403,ONCO
MN1,ENSG00000169184,ONCO
MSI2,ENSG00000153944,ONCO
MTCP1,ENSG00000214827,ONCO
MYB,ENSG00000118513,ONCO
MYC,ENSG00000136997,ONCO
NCOA2,ENSG00000140396,ONCO
NFATC2,ENSG00000101096,ONCO
NPM1,ENSG00000181163,ONCO
NR4A3,ENSG00000119508,ONCO
NSD2,ENSG00000109685,ONCO
NSD3,ENSG00000147548,ONCO
NTRK3,ENSG00000140538,ONCO
NUP98,ENSG00000110713,ONCO
NUTM1,ENSG00000184507,ONCO
OLIG2,ENSG00000205927,ONCO
P2RY8,ENSG00000182162,ONCO
PAX3,ENSG00000135903,ONCO
PBX1,ENSG00000185630,ONCO
PDCD1LG2,ENSG00000197646,ONCO
PDGFB,ENSG00000100311,ONCO
PDGFRA,ENSG00000134853,ONCO
PDGFRB,ENSG00000113721,ONCO
PIM1,ENSG00000137193,ONCO
PLAG1,ENSG00000181690,ONCO
PLCG1,ENSG00000124181,ONCO
POU2AF1,ENSG00000110777,ONCO
POU5F1,ENSG00000204531,ONCO
POU5F1,ENSG00000237582,ONCO
POU5F1,ENSG00000229094,ONCO
POU5F1,ENSG00000233911,ONCO
POU5F1,ENSG00000235068,ONCO
POU5F1,ENSG00000230336,ONCO
POU5F1,ENSG00000206454,ONCO
PRDM16,ENSG00000142611,ONCO
PSIP1,ENSG00000164985,ONCO
